lambda,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,beta10,beta11
0.01,17.4425,5.00984,2.57659,-9.18591,-7.69443,7.05475,2.03873,0.354023,-0.228658,-0.439126,0.940963
0.1,17.4383,5.00907,2.5756,-9.18348,-7.6931,7.05326,2.03847,0.353469,-0.228621,-0.439169,0.940824
0.5,17.4196,5.00566,2.57118,-9.17268,-7.68723,7.04663,2.03734,0.351015,-0.228454,-0.43936,0.940208
1,17.3962,5.0014,2.56567,-9.15921,-7.67991,7.03836,2.03593,0.347961,-0.228247,-0.439597,0.939438
2,17.3497,4.9929,2.55471,-9.1324,-7.66529,7.02189,2.03311,0.341899,-0.227832,-0.440062,0.937899
5,17.2116,4.96755,2.52233,-9.05293,-7.62173,6.97292,2.02468,0.32408,-0.226599,-0.441398,0.933292
10,16.9866,4.92573,2.46994,-8.92357,-7.55008,6.8928,2.0107,0.295556,-0.224577,-0.443433,0.92565
20,16.5542,4.84377,2.37065,-8.67583,-7.41027,6.73796,1.98303,0.242611,-0.220651,-0.446838,0.910521
50,15.3834,4.61093,2.11096,-8.01005,-7.01733,6.31247,1.90265,0.111464,-0.209718,-0.452678,0.866655
